factor_name,period,ic_mean,ic_std,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,p_value
factor_ma_trend,1d,0.0,0.0,0.0,0.0,0.1949455679009595,0.6912023618486852,1.0
factor_ma_trend,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_ma_trend,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_ma_trend,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_macd,1d,0.0,0.0,0.0,0.0,0.19494556790095943,0.691202361848685,1.0
factor_macd,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_macd,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_macd,20d,0.0,0.0,0.0,0.0,6.968861890258348,4.671496649429422,1.0
factor_rsi,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_rsi,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_rsi,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_rsi,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_kdj,1d,0.0,0.0,0.0,0.0,0.1949455679009593,0.6912023618486846,1.0
factor_kdj,5d,0.0,0.0,0.0,0.0,1.2763473183306182,1.8087774999707413,1.0
factor_kdj,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_kdj,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_bollinger,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_bollinger,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_bollinger,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_bollinger,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_atr,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_atr,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_atr,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_atr,20d,0.0,0.0,0.0,0.0,6.9688618902583475,4.671496649429421,1.0
factor_cci,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_cci,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_cci,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_cci,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_wr,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_wr,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_wr,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_wr,20d,0.0,0.0,0.0,0.0,6.9688618902583475,4.671496649429421,1.0
factor_dmi,1d,0.0,0.0,0.0,0.0,0.19494556790095935,0.6912023618486847,1.0
factor_dmi,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_dmi,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_dmi,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_roc,1d,0.0,0.0,0.0,0.0,0.19494556790095946,0.6912023618486851,1.0
factor_roc,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_roc,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_roc,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_mtm,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_mtm,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_mtm,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_mtm,20d,0.0,0.0,0.0,0.0,6.9688618902583475,4.671496649429421,1.0
factor_asi,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_asi,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_asi,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_asi,20d,0.0,0.0,0.0,0.0,6.9688618902583475,4.671496649429421,1.0
factor_emv,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_emv,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_emv,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_emv,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_psy,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_psy,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_psy,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_psy,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_ma5_bias,1d,-0.010599796186217748,0.2749075435048829,-0.038557676704966355,0.4738562091503268,0.3514756642507758,0.8243700073155285,0.5012149447882978
factor_ma5_bias,5d,-0.027096346962837182,0.2685235924318652,-0.1009086267520891,0.47019867549668876,-0.8109864855610944,-0.8839992170332724,0.08101647578657711
factor_ma5_bias,10d,-0.01272342894170668,0.26198619452225275,-0.04856526491752209,0.5016835016835017,-1.5993758111064793,-1.3293663867936563,0.4040829304770397
factor_ma5_bias,20d,0.007645358629471198,0.2602284208242076,0.02937941445925261,0.5261324041811847,-0.6221378281049528,-0.39053240539270045,0.6196758368310461
factor_volume_ratio,1d,0.0,0.0,0.0,0.0,0.1949455679009595,0.6912023618486852,1.0
factor_volume_ratio,5d,0.0,0.0,0.0,0.0,1.2763473183306184,1.8087774999707416,1.0
factor_volume_ratio,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_volume_ratio,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_turnover,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_turnover,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_turnover,10d,0.0,0.0,0.0,0.0,3.0603803463490826,2.9862620785073455,1.0
factor_turnover,20d,0.0,0.0,0.0,0.0,6.968861890258346,4.67149664942942,1.0
factor_obv,1d,0.0,0.0,0.0,0.0,0.19494556790095943,0.691202361848685,1.0
factor_obv,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_obv,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_obv,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_vr,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_vr,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_vr,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_vr,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_mfi,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_mfi,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_mfi,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_mfi,20d,0.0,0.0,0.0,0.0,6.968861890258348,4.671496649429422,1.0
factor_vma,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_vma,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_vma,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_vma,20d,0.0,0.0,0.0,0.0,6.9688618902583475,4.671496649429421,1.0
factor_vosc,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_vosc,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_vosc,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_vosc,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_wvad,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_wvad,5d,0.0,0.0,0.0,0.0,1.2763473183306184,1.8087774999707416,1.0
factor_wvad,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_wvad,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_v_ratio10,1d,-0.017605904925546787,0.20835676552341367,-0.08449883967683477,0.47058823529411764,-0.05060609462608587,-0.17759319946892635,0.14105367998895693
factor_v_ratio10,5d,-0.011555362048019685,0.20825569913632974,-0.05548641451802592,0.4735099337748344,0.15853302474436656,0.2196772392359313,0.3364942417416946
factor_v_ratio10,10d,-0.015955576458827312,0.1961698056801956,-0.0813355368503488,0.48484848484848486,0.009925054453456551,0.010171996015437001,0.1627552667270899
factor_v_ratio10,20d,-0.00887232882082717,0.211361507910659,-0.0419770321877976,0.5017421602787456,-0.20756256425713374,-0.14966696348096792,0.4783470013970772
factor_v_total,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_v_total,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_v_total,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_v_total,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_limit_up_score,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_limit_up_score,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_limit_up_score,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_limit_up_score,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_pioneer_status,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_pioneer_status,5d,0.0,0.0,0.0,0.0,1.2763473183306182,1.8087774999707413,1.0
factor_pioneer_status,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_pioneer_status,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_cost_peak,1d,-0.033230607486634055,0.26887620183421285,-0.12359073528985585,0.43137254901960786,0.1520405810960515,0.4320644880239103,0.03167524093341482
factor_cost_peak,5d,-0.04674624328585337,0.25114251561592604,-0.18613432763946156,0.4337748344370861,0.22566483559213493,0.2829215111937726,0.0013780879872463002
factor_cost_peak,10d,-0.04091546679901233,0.23363127215549936,-0.1751283825214117,0.42424242424242425,0.21721611552112988,0.2261961763061708,0.0028101340778099266
factor_cost_peak,20d,-0.03888795213611597,0.225555824241664,-0.17240943463490802,0.4808362369337979,1.2758301376153327,1.0366637053706598,0.003829685387980141
factor_market_temperature,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_market_temperature,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_market_temperature,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_market_temperature,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_market_breadth,1d,0.0,0.0,0.0,0.0,0.1949455679009595,0.6912023618486852,1.0
factor_market_breadth,5d,0.0,0.0,0.0,0.0,1.2763473183306182,1.8087774999707413,1.0
factor_market_breadth,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_market_breadth,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_market_sentiment,1d,-0.021206513135528352,0.25803828782525157,-0.08218359110292116,0.4673202614379085,0.031974046028877816,0.09054815527977365,0.15223350557660836
factor_market_sentiment,5d,-0.01971613155168784,0.23961606396095453,-0.08228217768780555,0.48344370860927155,0.008420600514002043,0.011084251220487179,0.15446022280180352
factor_market_sentiment,10d,-0.0342364676812805,0.22736258352851024,-0.1505809229907321,0.4511784511784512,0.24042500583412352,0.23458241481186456,0.010052642466103266
factor_market_sentiment,20d,-0.027113819135951827,0.22323931322046528,-0.12145629165762095,0.5156794425087108,1.6853562981277417,1.2862586105799259,0.04088333192847621
factor_market_trend,1d,0.01622966880098057,0.2657791930931146,0.061064482181999,0.5294117647058824,-0.1746718381412725,-0.45354644049183107,0.2870658144234725
factor_market_trend,5d,0.01727768754377537,0.24424246557570195,0.0707398998083739,0.543046357615894,-0.570641371156789,-0.6828785420606346,0.2206720926781468
factor_market_trend,10d,0.027056292755499273,0.22541883644618108,0.12002676077142731,0.5185185185185185,-0.5119982739893416,-0.4994740382341788,0.039791817569014336
factor_market_trend,20d,0.08014477935052416,0.22934414001789233,0.3494520476706824,0.6585365853658537,1.1965236827793102,0.7754937845604332,9.727252842026909e-9
factor_market_health,1d,-0.03356739831692078,0.24724750797658135,-0.1357643544787525,0.47019867549668876,-0.16248719971303072,-0.462641765038197,0.01914306876712136
factor_market_health,5d,-0.05343034987718961,0.2386905970065823,-0.2238477365562757,0.4261744966442953,-0.09238864848180166,-0.1251177968061071,0.0001403944391947465
factor_market_health,10d,-0.04646011798912851,0.21314184225727661,-0.2179774627876586,0.4402730375426621,-0.7988268276173988,-0.8092290824314222,0.00023459099957280657
factor_market_health,20d,-0.015616340548870154,0.2178223064469521,-0.07169302723673673,0.5053003533568905,0.993591182021172,0.7748227194593037,0.2296259654270837
